likely_fixed,imo,Name,dwt,draught,scrubber,age,Open,Open Date,ETA_Tubarao,current_operator,ais_destination_now,russia_port,Notes
False,9232060,ETOILE,169770,17.98,False,22,SLD COGH,2023-07-26,2023-08-04 ,MOUNDREAS,FOR ORDERS,True,
True,9260641,NEW LEONIDAS,170578,17.98,False,20,COGH,2023-07-30 ,2023-08-11 ,DEYESION / NEW SHIPPING LTD,CO PBO,True,B/S
False,9598139,CAPE PHOENIX,181356,18.24,False,12,COGH,2023-07-31 ,12-13Aug,MOUNDREAS,COGH,False,
True,9262730,AGIOS CHARALAMBOS,184872,17.98,False,20,SLD SINGAPORE,2023-07-17 ,2023-08-15 ,Times Navigation Inc,GN BFA,False,
False,9406453,NETADOLA,206312,18.1,False,16,SLD SINGAPORE,2023-07-18 ,2023-08-16 ,CLASSIC,COGH,False,
False,9492232,CHRISTINA J,177832,18.3,False,13,COGH,2023-08-05 ,2023-08-16 ,GOLDEN UNION,BR TUB,False,
False,848481000,NORD MAGNES,179546,,False,11,COGH,05-06Aug,17-18Aug,CCL,,False,
False,9731432,STAR VIRGO,207810,18.5,True,6,SLD SINGAPORE,2023-07-24 ,2023-08-18 ,MERCURIA / STARBULK,TUBARAO BRAZIL,False,B/S
False,9325013,NAVIOS FANTASTIKS,180265,18.17,True,18,SLD SINGAPORE,2023-07-20 ,2023-08-18 ,JAVELIN / KLEIMAR,TUBARAO,False,
True,9631321,CAPE STARS,206068,18.49,True,10,COGH,31Jul-01Aug,19-20Aug,UMING,PDM,False,
False,9750971,NAOMI,181031,18.32,False,7,COGH,2023-08-08 ,2023-08-20 ,SWISS / RWE / GOLDEN OCEAN,TUBARAO,False,
False,9258117,OCEAN LEO,177638,17.98,False,20,COGH,2023-08-09 ,2023-08-20 ,Bulkseas Marine Management SA,FOR ORDERS,True,sld spore 21 July
False,9701176,GOLDEN KAKI,180560,18.24,True,9,HALDIA,2023-07-23 ,2023-08-21 ,Costamare Inc / GOLDEN OCEAN,ZA RCB,False,pref bh
True,9887724,HUI GUO HAI,210909,18.5,True,2,COGH,09-10Aug,2023-08-21 ,COSCO,ITAGUAI,False,
False,9613094,NICOLEMY,179910,18.1,False,9,SLD SINGAPORE,2023-07-23 ,2023-08-21 ,OLAM / TRANSMED,BR TUB,False,B/S
False,9686326,SEAFIGHTER,181119,18.3,True,8,KRISHNAPATNAM,2023-07-24 ,2023-08-22 ,ST Shipping & Transport Pte / THENAMARIS ATHENS,INKRI,False,RBCT 8 Aug
False,9748095,MINERAL HOKUSAI,207219,18.27,False,8,JAIGAD,2023-07-26 ,2023-08-23 ,CCL / BOCIMAR,JAIGARH,False,
